protocol,seed,depth,gradient_norm,surrogate_direct_loss_drop,surrogate_rotated_loss_drop,event_direct_loss_drop,event_rotated_loss_drop,existing_cosine,oracle_cosine,existing_mse,oracle_mse,existing_sign_agreement,oracle_sign_agreement,eligibility_nonzero_fraction,target_energy_on_eligible_edges
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,ef4af876b956c927,3,2.370905638,0.005710420,-0.002078211,0.001922552,-0.000727880,0.425730377,0.425730377,0.000000194,0.000000144,0.578613281,0.548339844,0.055175781,0.232534766
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,0d02718c3a19453a,3,2.404421091,0.005886191,-0.002177135,0.001972312,-0.000721139,0.421343148,0.421343118,0.000000199,0.000000148,0.541748047,0.555419922,0.053955078,0.233261123
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,ab35cbc5bbe3c151,3,2.328902245,0.005494944,-0.001922381,0.001897736,-0.000696355,0.406082720,0.406082749,0.000000202,0.000000141,0.550292969,0.549316406,0.057128906,0.233293951
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,c9ed45033cb63d64,3,2.377453566,0.005746205,-0.002124004,0.001914031,-0.000713810,0.420302302,0.420302331,0.000000197,0.000000145,0.552490234,0.550537109,0.055175781,0.233138710
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,57a4df58bc78b97b,3,2.389785051,0.005807048,-0.002107209,0.001975349,-0.000720670,0.399704367,0.399704397,0.000000210,0.000000149,0.547363281,0.562011719,0.054687500,0.234123155
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,f65c58963dc3358e,3,2.382365227,0.005766849,-0.002214986,0.001918994,-0.000713388,0.405387312,0.405387312,0.000000205,0.000000147,0.556640625,0.557128906,0.054931641,0.232595533
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,1417d22fbe95b1a5,3,2.355066776,0.005632314,-0.001974057,0.001885161,-0.000675019,0.409999877,0.409999847,0.000000201,0.000000144,0.569824219,0.550781250,0.056152344,0.233653039
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,d67529eb300e7c14,4,2.518985033,0.006607407,-0.001078345,0.001643049,-0.000266868,0.564797223,0.564797223,0.000000308,0.000000147,0.600585938,0.508789062,0.060058594,0.452246934
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,742ca320b1d0f82b,4,2.586606503,0.006925478,-0.000882359,0.001775878,-0.000240990,0.537628472,0.537628412,0.000000325,0.000000158,0.604492188,0.518066406,0.059082031,0.422913134
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,92e43d7e329b743e,4,2.478750944,0.006406754,-0.000978382,0.001606959,-0.000267716,0.568428099,0.568428159,0.000000305,0.000000140,0.582275391,0.523681641,0.059570312,0.479479522
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,309fb6b7b26df055,4,2.535750151,0.006670723,-0.000935502,0.001692762,-0.000220211,0.569242358,0.569242418,0.000000294,0.000000146,0.568603516,0.528076172,0.058837891,0.455648601
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,5f5730cd33306c68,4,2.511791229,0.006555658,-0.000966621,0.001631969,-0.000239418,0.582895398,0.582895458,0.000000289,0.000000139,0.607910156,0.525878906,0.057373047,0.487177372
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,fd0e8a0ab4fae87f,4,2.458796978,0.006357795,-0.000953619,0.001610443,-0.000226637,0.572572172,0.572572172,0.000000323,0.000000141,0.572021484,0.513916016,0.060546875,0.483740360
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,1bc60440344d6492,4,2.485772848,0.006447242,-0.001089489,0.001608363,-0.000269361,0.582015395,0.582015395,0.000000299,0.000000138,0.579589844,0.533691406,0.058349609,0.488499492
