seed,depth,temperature,gradient_norm,soft_direct_loss_drop,soft_rotated_loss_drop,tempered_direct_loss_drop,tempered_rotated_loss_drop
13400911004452511913,2,2.0000,1.618062,0.002765,-0.000594,0.000071,-0.000019
13400911004452511913,2,1.0000,1.618062,0.002765,-0.000594,0.000206,-0.000049
13400911004452511913,2,0.5000,1.618062,0.002765,-0.000594,0.000547,-0.000098
13400911004452511913,2,0.2500,1.618062,0.002765,-0.000594,0.000269,-0.000039
13400911004452511913,2,0.1000,1.618062,0.002765,-0.000594,0.000001,-0.000000
13400911004452511913,2,hard,1.618062,0.002765,-0.000594,0.000000,0.000000
14389304000666033340,2,soft,1.566521,0.002595,-0.000561,0.002595,-0.000561
14389304000666033340,2,2.0000,1.566521,0.002595,-0.000561,0.000066,-0.000019
14389304000666033340,2,1.0000,1.566521,0.002595,-0.000561,0.000193,-0.000048
14389304000666033340,2,0.5000,1.566521,0.002595,-0.000561,0.000513,-0.000081
14389304000666033340,2,0.2500,1.566521,0.002595,-0.000561,0.000249,-0.000020
14389304000666033340,2,0.1000,1.566521,0.002595,-0.000561,0.000001,-0.000000
14389304000666033340,2,hard,1.566521,0.002595,-0.000561,0.000000,0.000000
7379312348008863955,2,soft,1.666442,0.002906,-0.000532,0.002906,-0.000532
7379312348008863955,2,2.0000,1.666442,0.002906,-0.000532,0.000074,-0.000019
7379312348008863955,2,1.0000,1.666442,0.002906,-0.000532,0.000213,-0.000046
7379312348008863955,2,0.5000,1.666442,0.002906,-0.000532,0.000560,-0.000077
7379312348008863955,2,0.2500,1.666442,0.002906,-0.000532,0.000275,-0.000020
7379312348008863955,2,0.1000,1.666442,0.002906,-0.000532,0.000001,-0.000000
7379312348008863955,2,hard,1.666442,0.002906,-0.000532,0.000000,0.000000
9520731371184805094,2,soft,1.614617,0.002781,-0.000521,0.002781,-0.000521
9520731371184805094,2,2.0000,1.614617,0.002781,-0.000521,0.000072,-0.000017
9520731371184805094,2,1.0000,1.614617,0.002781,-0.000521,0.000209,-0.000046
9520731371184805094,2,0.5000,1.614617,0.002781,-0.000521,0.000558,-0.000107
9520731371184805094,2,0.2500,1.614617,0.002781,-0.000521,0.000271,-0.000044
9520731371184805094,2,0.1000,1.614617,0.002781,-0.000521,0.000001,-0.000000
9520731371184805094,2,hard,1.614617,0.002781,-0.000521,0.000000,0.000000
2511848558889390333,2,soft,1.625435,0.002807,-0.000527,0.002807,-0.000527
2511848558889390333,2,2.0000,1.625435,0.002807,-0.000527,0.000072,-0.000019
2511848558889390333,2,1.0000,1.625435,0.002807,-0.000527,0.000209,-0.000047
2511848558889390333,2,0.5000,1.625435,0.002807,-0.000527,0.000555,-0.000076
2511848558889390333,2,0.2500,1.625435,0.002807,-0.000527,0.000270,-0.000017
2511848558889390333,2,0.1000,1.625435,0.002807,-0.000527,0.000001,-0.000000
2511848558889390333,2,hard,1.625435,0.002807,-0.000527,0.000000,0.000000
4653197178990775568,2,soft,1.680468,0.002964,-0.000536,0.002964,-0.000536
4653197178990775568,2,2.0000,1.680468,0.002964,-0.000536,0.000076,-0.000020
4653197178990775568,2,1.0000,1.680468,0.002964,-0.000536,0.000219,-0.000047
